Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp
0,0,0,0,0,0,0,0,13.384,0.247,3.78419,-1.143064,0,0,0,0,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,12.629,0.248,3.7612,-1.166054,0,0,0,0,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,14.652,0.257,3.73767,-1.189584,0,0,0,0,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,13.38,0.28,3.713572,-1.213682,0,0,0,0,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,14.538,0.285,3.688879,-1.238374,0,0,0,0,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,16.746,0.3,3.663562,-1.263692,0,0,0,0,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,17.369,0.313,3.637586,-1.289668,0,0,0,0,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,13.921,0.315,3.610918,-1.316336,0,0,0,0,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,14.41,0.325,3.583519,-1.343735,0,0,0,0,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,16.135,0.336,3.555348,-1.371906,0,0,0,0,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,14.517,0.353,3.526361,-1.400893,0,0,0,0,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,12.604,0.356,3.496508,-1.430746,0,0,0,0,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,16.731,0.394,3.465736,-1.461518,0,0,0,0,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,14.432,0.4,3.433987,-1.493266,0,0,0,0,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,17.155,0.459,3.401197,-1.526056,0,0,0,0,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,15.997,0.472,3.367296,-1.559958,0,0,0,0,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,13.13,0.476,3.332205,-1.595049,0,0,0,0,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,13.967,0.484,3.295837,-1.631417,0,0,0,0,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,17.776,0.497,3.258097,-1.669157,0,0,0,0,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,15.193,0.524,3.218876,-1.708378,0,0,0,0,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,17.735,0.531,3.178054,-1.7492,0,0,0,0,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,15.229,0.592,3.135494,-1.791759,0,0,0,0,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,16.671,0.614,3.091042,-1.836211,0,0,0,0,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,14.041,0.651,3.044522,-1.882731,0,0,0,0,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,14.447,0.712,2.995732,-1.931521,0,0,0,0,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,16.961,0.954,2.944439,-1.982815,0,0,0,0,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,18.072,1.01,2.890372,-2.036882,0,0,0,0,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,12.787,1.065,2.833213,-2.09404,0,0,0,0,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,16.855,1.103,2.772589,-2.154665,0,0,0,0,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,14.89,1.125,2.70805,-2.219203,0,0,0,0,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,15.605,1.132,2.639057,-2.288196,0,0,0,0,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,16.855,1.196,2.564949,-2.362304,0,0,0,0,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,17.423,1.251,2.484907,-2.442347,0,0,0,0,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,14.708,1.328,2.397895,-2.529358,0,0,0,0,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,15.265,1.367,2.302585,-2.624669,0,0,0,0,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,16.751,1.435,2.197225,-2.730029,0,0,0,0,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,16.725,1.652,2.079442,-2.847812,0,0,0,0,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,15.673,2.367,1.94591,-2.981344,0,0,0,0,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,15.181,2.553,1.791759,-3.135494,0,0,0,0,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,16.833,5.292,1.609438,-3.317816,0,0,0,0,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,13.34,6.634,1.386294,-3.540959,0,0,0,0,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,17.773,8.782,1.098612,-3.828641,0,0,0,0,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,14.163,9.14,0.693147,-4.234107,0,0,0,0,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,14.829,14.665,0,-4.927254,0,0,0,0,0,0,0,0,0,0,0,0,,,
