TCR-CD3ge lifetime,Force,Lifetime,TCR-CD3ge thermal,Thermal Lifetime,,TCR-CD3de lifetime,Force,Lifetime,TCR-CD3de thermal,Thermal Lifetime,,TCR-CD3mix lifetime,Force,Lifetime,TCR-CD3mix Thermal,Thermal lifetime
,,,,,,,21.446,0.473,,,,,16.524,7.653,,
,,,,,,,21.454,2.808,,,,,16.545,0.006,,
,,,,,,,21.571,0.02,,,,,16.569,0.083,,
,,,,,,,21.718,0.017,,,,,16.582,0.03,,
,,,,,,,21.726,0.048,,,,,16.662,0.056,,
,,,,,,,21.74,0.078,,,,,16.663,0.011,,
,,,,,,,21.786,0.059,,,,,16.705,0.012,,
,,,,,,,21.815,0.061,,,,,16.776,0.024,,
,,,,,,,21.9,0.05,,,,,16.814,0.203,,
,,,,,,,21.933,0.03,,,,,16.855,0.076,,
,,,,,,,22.2,4.383,,,,,16.929,0.01,,
,,,,,,,22.204,0.311,,,,,16.938,0.013,,
,,,,,,,22.24,0.011,,,,,16.985,0.012,,
,,,,,,,22.256,0.091,,,,,17.065,0.041,,
,,,,,,,22.263,2.444,,,,,17.094,0.035,,
,,,,,,,22.275,0.066,,,,,17.118,0.063,,
,,,,,,,22.307,0.011,,,,,17.132,0.067,,
,,,,,,,22.387,0.09,,,,,17.167,0.171,,
,,,,,,,22.405,0.011,,,,,17.245,0.028,,
,,,,,,,22.486,0.152,,,,,17.251,0.152,,
,,,,,,,22.748,0.088,,,,,17.257,0.192,,
,,,,,,,22.76,0.027,,,,,17.286,0.018,,
,,,,,,,23.005,16.816,,,,,17.357,1.678,,
,,,,,,,23.202,1.167,,,,,17.465,0.244,,
,,,,,,,23.306,0.064,,,,,17.472,0.042,,
,,,,,,,23.338,0.024,,,,,17.495,0.404,,
,,,,,,,23.413,0.501,,,,,17.525,0.141,,
,,,,,,,23.414,0.526,,,,,17.605,0.009,,
,,,,,,,23.582,0.449,,,,,17.635,0.011,,
,,,,,,,23.696,0.38,,,,,17.757,0.054,,
,,,,,,,23.8,0.348,,,,,17.78,0.244,,
,,,,,,,23.963,0.244,,,,,17.796,0.036,,
,,,,,,,24.117,0.101,,,,,17.814,0.071,,
,,,,,,,24.29,0.082,,,,,17.818,0.548,,
,,,,,,,24.305,0.01,,,,,17.845,0.02,,
,,,,,,,24.436,0.028,,,,,17.861,0.442,,
,,,,,,,24.485,0.039,,,,,17.865,0.01,,
,,,,,,,24.626,0.014,,,,,17.941,0.175,,
,,,,,,,24.629,0.014,,,,,17.97,0.048,,
,,,,,,,24.693,0.036,,,,,17.994,0.283,,
,,,,,,,24.73,0.024,,,,,18,0.034,,
,,,,,,,24.778,0.494,,,,,18.049,0.136,,
,,,,,,,24.81,0.076,,,,,18.071,0.132,,
,,,,,,,24.861,0.064,,,,,18.139,0.17,,
,,,,,,,25.002,0.381,,,,,18.193,4.793,,
,,,,,,,25.045,0.023,,,,,18.226,0.563,,
,,,,,,,25.06,0.068,,,,,18.268,0.026,,
,,,,,,,25.098,0.196,,,,,18.278,18.464,,
,,,,,,,25.32,1.555,,,,,18.283,0.062,,
,,,,,,,25.425,0.053,,,,,18.284,0.034,,
,,,,,,,25.7,0.053,,,,,18.322,0.014,,
,,,,,,,25.981,0.047,,,,,18.537,0.037,,
,,,,,,,25.997,0.057,,,,,18.586,0.122,,
,,,,,,,26.181,0.02,,,,,18.683,0.322,,
,,,,,,,26.198,0.311,,,,,18.685,1.984,,
,,,,,,,26.286,0.217,,,,,18.743,0.631,,
,,,,,,,26.335,0.025,,,,,18.781,0.106,,
,,,,,,,26.793,0.563,,,,,18.782,0.063,,
,,,,,,,27.12,0.114,,,,,18.797,0.658,,
,,,,,,,27.157,4.249,,,,,18.817,0.699,,
,,,,,,,27.24,0.148,,,,,18.838,0.01,,
,,,,,,,27.339,0.058,,,,,18.929,0.007,,
,,,,,,,27.396,0.028,,,,,18.983,0.027,,
,,,,,,,27.397,0.217,,,,,19.088,0.024,,
,,,,,,,27.521,0.022,,,,,19.095,0.122,,
,,,,,,,27.618,0.072,,,,,19.1,0.63,,
,,,,,,,27.625,0.018,,,,,19.127,0.113,,
,,,,,,,27.629,0.174,,,,,19.16,5.069,,
,,,,,,,28.111,0.087,,,,,19.273,25.714,,
,,,,,,,28.458,0.071,,,,,19.354,0.609,,
,,,,,,,28.47,1.312,,,,,19.401,0.141,,
,,,,,,,28.519,0.016,,,,,19.403,0.121,,
,,,,,,,29.035,0.027,,,,,19.425,0.113,,
,,,,,,,29.057,0.028,,,,,19.493,0.019,,
,,,,,,,29.73,0.13,,,,,19.497,0.047,,
,,,,,,,29.762,0.041,,,,,19.535,0.076,,
,,,,,,,30.487,0.049,,,,,19.538,3.015,,
,,,,,,,30.719,0.012,,,,,19.563,0.062,,
,,,,,,,30.979,0.054,,,,,19.592,1.814,,
,,,,,,,31.948,0.848,,,,,19.606,0.255,,
,,,,,,,31.96,0.046,,,,,19.676,3.903,,
,,,,,,,32.339,0.06,,,,,19.686,0.022,,
,,,,,,,45.91,0.138,,,,,19.733,0.026,,
,,,,,,,,,,,,,19.756,0.269,,
,,,,,,,,,,,,,19.767,0.047,,
,,,,,,,,,,,,,19.769,0.17,,
,,,,,,,,,,,,,19.78,0.062,,
,,,,,,,,,,,,,19.808,0.404,,
,,,,,,,,,,,,,19.812,0.011,,
,,,,,,,,,,,,,19.83,0.024,,
,,,,,,,,,,,,,19.871,0.04,,
,,,,,,,,,,,,,19.886,0.135,,
,,,,,,,,,,,,,19.899,0.049,,
,,,,,,,,,,,,,19.989,0.506,,
,,,,,,,,,,,,,20.048,0.013,,
