Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp
0,0,0,0,0,0,0,0,10.493,1.035,3.332205,-1.53533,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,11.214,1.062,3.295837,-1.571698,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,12.566,1.154,3.258097,-1.609438,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,12.199,1.193,3.218876,-1.648659,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,10.455,1.196,3.178054,-1.689481,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,12.042,1.232,3.135494,-1.73204,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,14.105,1.239,3.091042,-1.776492,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,12.597,1.308,3.044522,-1.823012,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,13.422,1.345,2.995732,-1.871802,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,10.32,1.523,2.944439,-1.923095,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,10.889,1.722,2.890372,-1.977163,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,10.668,1.787,2.833213,-2.034321,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,13.929,1.799,2.772589,-2.094946,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,11.926,1.993,2.70805,-2.159484,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,12.052,2.024,2.639057,-2.228477,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,13.778,2.495,2.564949,-2.302585,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,12.541,2.681,2.484907,-2.382628,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,11.74,3.674,2.397895,-2.469639,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,10.77,4.246,2.302585,-2.564949,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,11.905,4.363,2.197225,-2.67031,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,14.789,5.486,2.079442,-2.788093,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,15.058,5.516,1.94591,-2.921624,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,9.548,6.436,1.791759,-3.075775,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,12.465,6.547,1.609438,-3.258097,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,10.575,7.072,1.386294,-3.48124,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,14.443,7.307,1.098612,-3.768922,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,12.726,8.288,0.693147,-4.174387,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,15.139,8.843,0,-4.867534,0,0,0,0,0,0,0,0,0,0,0,0
