Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp
0,0,0,0,8.984,1.942,2.484907,-2.014903,14.544,0.193,4.060443,-0.852212,16.855,0.076,4.330733,-0.706219,0,0,0,0,0,0,0,0,,,
0,0,0,0,7.734,1.988,2.397895,-2.101914,13.026,0.196,4.043051,-0.869604,19.535,0.076,4.317488,-0.719464,0,0,0,0,0,0,0,0,,,
0,0,0,0,6.278,2.396,2.302585,-2.197225,12.814,0.201,4.025352,-0.887303,16.569,0.083,4.304065,-0.732888,0,0,0,0,0,0,0,0,,,
0,0,0,0,9.566,2.595,2.197225,-2.302585,15.077,0.203,4.007333,-0.905322,15.657,0.084,4.290459,-0.746493,0,0,0,0,0,0,0,0,,,
0,0,0,0,9.59,2.765,2.079442,-2.420368,14.461,0.21,3.988984,-0.923671,20.565,0.084,4.276666,-0.760286,0,0,0,0,0,0,0,0,,,
0,0,0,0,8.52,3.997,1.94591,-2.5539,11.739,0.211,3.970292,-0.942363,16.524,0.104,4.26268,-0.774273,0,0,0,0,0,0,0,0,,,
0,0,0,0,7.094,4.547,1.791759,-2.70805,12.749,0.226,3.951244,-0.961411,18.781,0.106,4.248495,-0.788457,0,0,0,0,0,0,0,0,,,
0,0,0,0,9.137,5.044,1.609438,-2.890372,13.409,0.23,3.931826,-0.980829,20.208,0.111,4.234107,-0.802846,0,0,0,0,0,0,0,0,,,
0,0,0,0,9.387,8.84,1.386294,-3.113515,13.532,0.236,3.912023,-1.000632,19.127,0.113,4.219508,-0.817445,0,0,0,0,0,0,0,0,,,
0,0,0,0,6.343,9.411,1.098612,-3.401197,11.035,0.237,3.89182,-1.020835,19.425,0.113,4.204693,-0.83226,0,0,0,0,0,0,0,0,,,
0,0,0,0,6.888,12.11,0.693147,-3.806662,10.445,0.269,3.871201,-1.041454,19.403,0.121,4.189655,-0.847298,0,0,0,0,0,0,0,0,,,
0,0,0,0,9.007,14.166,0,-4.49981,10.669,0.27,3.850148,-1.062507,18.586,0.122,4.174387,-0.862565,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,11.61,0.299,3.828641,-1.084013,19.095,0.122,4.158883,-0.87807,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,11.546,0.302,3.806662,-1.105992,16.016,0.123,4.143135,-0.893818,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,13.043,0.304,3.78419,-1.128465,20.527,0.129,4.127134,-0.909818,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,11.79,0.309,3.7612,-1.151455,18.071,0.132,4.110874,-0.926079,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,14.392,0.317,3.73767,-1.174985,19.886,0.135,4.094345,-0.942608,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,15.463,0.323,3.713572,-1.199083,18.049,0.136,4.077537,-0.959415,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,10.662,0.342,3.688879,-1.223775,17.525,0.141,4.060443,-0.97651,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,11.164,0.346,3.663562,-1.249093,19.401,0.141,4.043051,-0.993901,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,14.29,0.351,3.637586,-1.275069,17.251,0.152,4.025352,-1.011601,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,12.277,0.354,3.610918,-1.301737,18.139,0.17,4.007333,-1.029619,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,11.575,0.362,3.583519,-1.329136,19.769,0.17,3.988984,-1.047969,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,13.541,0.363,3.555348,-1.357307,17.167,0.171,3.970292,-1.066661,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,12.658,0.376,3.526361,-1.386294,17.941,0.175,3.951244,-1.085709,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,12.563,0.398,3.496508,-1.416147,15.712,0.181,3.931826,-1.105127,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,14.772,0.401,3.465736,-1.446919,20.426,0.186,3.912023,-1.12493,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,11.061,0.413,3.433987,-1.478668,17.257,0.192,3.89182,-1.145132,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,14.538,0.451,3.401197,-1.511458,16.083,0.193,3.871201,-1.165752,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,12.011,0.459,3.367296,-1.545359,16.44,0.202,3.850148,-1.186805,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,14.947,0.472,3.332205,-1.58045,16.814,0.203,3.828641,-1.208311,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,10.299,0.507,3.295837,-1.616818,16.371,0.236,3.806662,-1.23029,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,11.874,0.562,3.258097,-1.654558,17.465,0.244,3.78419,-1.252763,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,13.072,0.592,3.218876,-1.693779,17.78,0.244,3.7612,-1.275752,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,13.403,0.593,3.178054,-1.734601,19.606,0.255,3.73767,-1.299283,0,0,0,0,0,0,0,0,,,
